detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_knn5_dist,shot_noise,0.1,0.2622014284133911,0.8214285714285714,0.6666666666666666,0.3333333333333333,0.9019607843137255,168,92,10,46,20
ref_knn5_dist,zoom_blur,0.05,0.3125345408916473,0.8690476190476191,0.8424657534246576,0.3181818181818182,0.9461538461538461,168,123,7,23,15
ref_knn5_dist,zoom_blur,0.1,0.2617919147014618,0.8690476190476191,0.8972602739726028,0.45454545454545453,0.9290780141843972,168,131,10,15,12
ref_mahalanobis_delta,blue_channel_shift,0.05,3691.18073468945,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_mahalanobis_delta,blue_channel_shift,0.1,2466.524857135309,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_mahalanobis_delta,compound,0.05,3495.5066519409147,1.0,0.7976190476190477,,1.0,168,134,0,34,0
ref_mahalanobis_delta,compound,0.1,2246.015793170307,1.0,0.8869047619047619,,1.0,168,149,0,19,0
ref_mahalanobis_delta,compound_digital,0.05,3495.5066519409147,0.8630952380952381,0.45517241379310347,0.043478260869565216,0.9850746268656716,168,66,1,79,22
ref_mahalanobis_delta,compound_digital,0.1,2246.015793170307,0.8630952380952381,0.6689655172413793,0.08695652173913043,0.9797979797979798,168,97,2,48,21
ref_mahalanobis_delta,compound_field,0.05,3495.5066519409147,0.9583333333333334,0.6832298136645962,0.0,1.0,168,110,0,51,7
ref_mahalanobis_delta,compound_field,0.1,2243.6410107545144,0.9583333333333334,0.8633540372670807,0.14285714285714285,0.9928571428571429,168,139,1,22,6
ref_mahalanobis_delta,compound_optical,0.05,3444.0076339494453,0.8928571428571429,0.72,0.2222222222222222,0.9642857142857143,168,108,4,42,14
ref_mahalanobis_delta,compound_optical,0.1,2219.887045583767,0.8928571428571429,0.8666666666666667,0.3333333333333333,0.9558823529411765,168,130,6,20,12
ref_mahalanobis_delta,contrast,0.05,3691.18073468945,0.0,,0.0,,224,0,0,0,224
ref_mahalanobis_delta,contrast,0.1,2466.524857135309,0.0,,0.0,,224,0,0,0,224
