backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x10,VN26_x20,54,0.14153877454880054,0.14153877454880054,0.33423775892714813,0.1926989843783476
resnet50,VN26_x10,VN26_x20,55,0.08425284631326567,0.08425284631326567,0.16153532010324445,0.07728247378997878
resnet50,VN26_x10,VN26_x20,56,0.39814226702128147,0.39814226702128147,0.6119068052563735,0.21376453823509206
resnet50,VN26_x10,VN26_x20,57,0.11975528893858896,0.11975528893858896,0.24766564451157347,0.12791035557298452
resnet50,VN26_x10,VN26_x20,58,0.14478594578243828,0.14478594578243828,0.19185841392798006,0.04707246814554178
resnet50,VN26_x10,VN26_x20,59,0.19093218422907607,0.19093218422907607,0.20030074334468406,0.009368559115607994
resnet50,VN26_x10,VN26_x20,60,0.1899004003231891,0.1899004003231891,0.25965825081979976,0.06975785049661065
resnet50,VN26_x10,VN26_x20,61,0.18678205493290403,0.18678205493290403,0.1876996954512643,0.0009176405183602687
resnet50,VN26_x10,VN26_x20,62,0.1922676863656754,0.1922676863656754,0.4145020783259658,0.2222343919602904
resnet50,VN26_x10,VN26_x20,63,0.09218966604061718,0.09218966604061718,0.2373156090291002,0.14512594298848303
resnet50,VN26_x10,VN26_x20,64,0.26689061062621633,0.26689061062621633,0.3743575692807133,0.10746695865449696
resnet50,VN26_x10,VN26_x20,65,0.1693372530370625,0.1693372530370625,0.5217945477498105,0.352457294712748
resnet50,VN26_x10,VN26_x20,66,0.30969295563097,0.30969295563097,0.37669562445564925,0.06700266882467926
resnet50,VN26_x10,VN26_x20,67,0.1911264424029665,0.1911264424029665,0.5894005720771548,0.3982741296741883
resnet50,VN26_x10,VN26_x20,68,0.3096614710252589,0.3096614710252589,0.31777304765610787,0.008111576630848938
resnet50,VN26_x10,VN26_x20,69,0.2013892998811668,0.2013892998811668,0.2784788524760298,0.07708955259486303
resnet50,VN26_x10,VN26_x20,70,0.14172875800481619,0.14172875800481619,0.3364645253993372,0.194735767394521
resnet50,VN26_x10,VN26_x20,71,0.03298061307432386,0.03298061307432386,0.3611451836533963,0.32816457057907245
resnet50,VN26_x10,VN26_x20,72,0.38285633425618676,0.38285633425618676,0.38285633425618676,0.0
resnet50,VN26_x10,VN26_x20,73,0.24042592367789017,0.24042592367789017,0.2684633322049805,0.028037408527090302
resnet50,VN26_x10,VN26_x20,74,0.0846452454279026,0.0846452454279026,0.32826075874801924,0.24361551332011666
resnet50,VN26_x10,VN26_x20,75,0.2871086234915334,0.2871086234915334,0.40513103323875727,0.11802240974722389
resnet50,VN26_x10,VN26_x20,76,0.1150379326161029,0.1150379326161029,0.40577124151116273,0.2907333088950598
resnet50,VN26_x10,VN26_x20,77,0.4069542894801008,0.4069542894801008,0.4069542894801008,0.0
resnet50,VN26_x10,VN26_x20,78,0.21281098489797057,0.21281098489797057,0.3764789191746019,0.16366793427663134
resnet50,VN26_x10,VN26_x20,79,0.1812238514173998,0.1812238514173998,0.2798253322024509,0.09860148078505113
resnet50,VN26_x10,VN26_x20,80,0.11503675298040376,0.11503675298040376,0.2745879533789046,0.15955120039850085
resnet50,VN26_x10,VN26_x20,81,0.2484318180694701,0.2484318180694701,0.2484318180694701,0.0
resnet50,VN26_x10,VN26_x20,82,0.23759756199929116,0.23759756199929116,0.36513345814903114,0.12753589614973998
resnet50,VN26_x10,VN26_x20,83,0.09502797520939373,0.09502797520939373,0.26795870783380527,0.17293073262441155
resnet50,VN26_x10,VN26_x20,84,0.21512508659704566,0.21512508659704566,0.41909889891927876,0.2039738123222331
resnet50,VN26_x10,VN26_x20,85,0.1567647975884769,0.1567647975884769,0.16803478434993194,0.011269986761455048
resnet50,VN26_x10,VN26_x20,86,0.4352333149972127,0.4352333149972127,0.4352333149972127,0.0
resnet50,VN26_x10,VN26_x20,87,0.11941491165390676,0.11941491165390676,0.29579414236325435,0.17637923070934758
